City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,nantucket,41.2835,-70.0995,292.6,99,20,4.63,US,1695090516
331,shaowu,27.3409,117.4831,305.01,64,16,1.45,CN,1695090745
332,nishinoomote,30.7333,131.0,302.46,83,40,2.06,JP,1695090745
333,bakanas,44.8081,76.2772,291.93,37,86,3.73,KZ,1695090745
334,kingston,17.997,-76.7936,302.68,77,20,2.57,JM,1695090727
335,grantsville,40.5999,-112.4644,295.67,38,40,3.09,US,1695090745
336,taos,36.4072,-105.5731,285.68,86,40,5.66,US,1695090745
337,saipan,15.1355,145.701,305.54,70,40,7.72,MP,1695090746
338,galliano,29.4422,-90.2992,297.59,88,0,0.0,US,1695090728
339,holualoa,19.6228,-155.9522,300.06,82,100,5.66,US,1695090746
340,kibale,0.8,31.0667,288.12,96,97,0.5,UG,1695090746
341,caleta de carquin,-11.0925,-77.6267,292.51,89,65,2.46,PE,1695090746
342,margate,51.3813,1.3862,286.65,76,100,2.68,GB,1695090549
343,aksu,41.1231,80.2644,294.35,36,0,3.05,CN,1695090746
344,hobyo,5.3505,48.5268,298.36,84,34,8.67,SO,1695090747
345,daru,-9.0763,143.2092,300.25,69,98,5.33,PG,1695090747
346,alenquer,-1.9417,-54.7383,299.51,49,10,1.71,BR,1695090747
347,mbeni,-11.5014,43.3775,294.77,78,3,2.11,KM,1695090747
348,greenville,35.6127,-77.3663,291.0,95,0,0.0,US,1695090649
349,mili,6.0815,171.735,301.11,78,90,4.26,MH,1695090747
350,cranbrook,49.4999,-115.7688,287.06,47,75,4.12,CA,1695090748
351,al hufuf,25.3646,49.5653,301.34,28,0,1.54,SA,1695090748
352,polovinnoye,54.7914,65.9864,288.18,61,94,2.84,RU,1695090748
353,la porte,29.6658,-95.0194,302.12,62,20,3.6,US,1695090748
354,lamu,-2.2717,40.902,298.27,83,71,5.53,KE,1695090748
355,pacific grove,36.6177,-121.9166,293.83,85,20,3.09,US,1695090511
356,tralee,52.2704,-9.7026,288.8,96,100,8.02,IE,1695090748
357,bekasi,-6.2349,106.9896,306.5,58,40,1.54,ID,1695090749
358,greymouth,-42.4667,171.2,285.33,86,100,1.6,NZ,1695090498
359,ujae,8.9322,165.7642,300.17,83,100,8.4,MH,1695090749
360,springbok,-29.6643,17.8865,282.62,53,13,1.5,ZA,1695090749
361,onega,63.9061,38.1404,277.08,87,77,3.33,RU,1695090749
362,labytnangi,66.6572,66.4183,279.98,97,100,1.46,RU,1695090749
363,charters towers,-20.1,146.2667,302.46,28,19,4.28,AU,1695090750
